1,2500,8028,6183,6306,3812,5943,1689,5728,1139,4918,8171,4464,8263,8766,9907,8485,2231,1580,6745,9651,5820,5619,3717,5364,1355,4185,6916,8884,7831,9906,7049,1426,2603,2051,1811,1124,8188,9357,5543,2767,9438,4493,5015,2491,8272,7768,9690,5633,6854,4684,2114,6589,1482,4490,1384,6999,3133,3560,3365,3609,2124,1143,2719,3345,1557,9642,7934,4723,7202,5727,2834,4335,9277,8357,7575,1041,6765,9286,9528,1791,2445,3446,2492,9367,3946,4571,6912,1221,3232,8083,5370,5466,9857,4673,2105,2032,1884,6104,8313,9628
2,2051,5943,8313,4493,9690,2491,1355,3560,3365,1689,7049,6183,7202,2114,4335,1811,5619,8272,3133,2767,6999,1384,3232,2603,2032,6765,6104,7768,4185,9277,2445,8263,2492,5370,1139,5543,9642,7831,8188,2231,3446,9907,8171,9286,2105,3345,2500,7934,6589,9857,1482,3717,1557,4571,8083,2719,5466,5364,1884,3946,1221,8884,5633,9528,5015,1124,6306,1143,4684,2124,4673,9357,9651,9367,3812,5820,9628,7575,1041,4918,5728,8485,2834,1426,3609,8028,8357,9906,6916,8766,6912,9438,1580,4723,6745,5727,4490,1791,6854,4464
3,4918,8884,4335,9642,9906,8313,8028,2834,4673,1355,1384,3812,3365,3446,2767,1221,8766,1884,9628,5619,3609,9690,2051,4571,9907,7831,1124,6589,3345,4684,5633,9357,1041,8263,3717,7575,6854,4493,7049,8188,2445,9367,9438,2032,1426,5370,8171,7768,2491,5543,3946,2603,4490,8083,5015,4185,6104,9277,5727,3133,5466,6306,4723,8272,1580,2124,2500,4464,7934,9528,8485,1811,6912,6745,1139,2231,5364,1482,1143,9857,5820,5728,3232,3560,2105,6999,9286,6916,9651,8357,7202,2719,1791,2492,1689,6183,2114,1557,6765,5943
4,3133,8263,6745,3345,4493,4335,6854,1041,8884,3946,8357,2105,1355,8083,4571,7831,9857,8272,2032,6306,2051,1557,9651,4490,3609,5370,2767,6912,2719,1811,3560,1384,5820,4684,1139,1221,4185,2834,7768,1884,2492,7049,7575,9357,3717,8313,6916,9367,9907,4673,2124,1143,5727,2114,5364,6589,4918,6104,7202,9628,2445,6765,1791,2500,3812,1689,1426,1124,9286,5633,3232,5466,5015,9438,5543,6999,5943,3446,1482,8171,9528,5728,8766,9690,3365,7934,8188,9906,2491,4723,4464,1580,8028,5619,8485,2603,9642,9277,2231,6183
5,5943,4673,9642,2603,2231,7934,1811,2445,2767,9651,3812,5015,3446,5727,9277,5370,3560,1580,1689,2051,8188,4464,1384,9690,6854,8485,9907,7202,8766,5466,4335,8028,1884,7049,6916,5820,1791,6589,1482,4493,4185,2491,2500,8357,6306,8884,9528,4490,3946,5364,1221,5728,2834,1557,3365,9628,5543,6745,9286,8171,1041,8313,8263,9357,3133,4684,7768,2105,2492,2114,2719,4723,6104,1143,2032,3345,1355,6765,9367,3717,6183,5633,9906,6999,3609,7831,2124,1124,7575,8083,1426,4571,5619,8272,9438,3232,6912,1139,9857,4918
6,8263,7934,9690,2834,5820,9277,3609,7768,1143,6916,6589,2492,5943,5728,3812,8766,8028,5466,8272,8083,9906,1139,1884,2500,3446,9357,1124,3345,1811,4918,2231,7831,8357,2603,9528,9367,6854,2767,8485,4571,6745,4723,2445,5727,9286,1791,2124,8884,9438,2491,1426,6999,4335,2032,9907,1482,5543,5370,9628,2051,3133,5619,4185,3232,4490,1557,2719,3946,9642,6104,3365,9651,2114,5015,7202,5633,3717,4673,4493,8188,6912,7575,5364,1355,7049,1221,6183,4464,1384,9857,1041,3560,8313,6306,2105,6765,8171,4684,1580,1689
7,5370,2124,8188,4185,7049,3717,4464,6916,9907,1426,5364,7831,1580,9357,3812,9286,2500,5820,8766,7934,3133,2492,1355,4490,9628,5943,1811,1557,3365,2834,8357,1884,1689,1041,2445,6745,4723,8083,5633,4493,3609,9367,7768,5543,9906,5466,3946,2105,4673,8272,2114,5728,8485,4335,2767,1384,2231,2603,3446,5619,9642,6589,6104,9528,5015,4571,3560,1139,1482,8171,3345,8313,9651,2719,9857,4918,9438,2491,1143,1221,6854,5727,6306,1791,1124,3232,7575,9690,2032,8263,4684,7202,8884,9277,8028,6912,6999,2051,6183,6765
8,7831,8083,4493,3133,1041,3717,4673,5364,6589,4490,5728,9438,8313,9651,5727,9286,7768,5015,1580,8188,8028,5820,1557,6104,3345,3812,8272,6912,4335,7575,2603,1139,5370,4918,2491,4185,3560,5633,6999,1143,5543,9690,3946,1811,9906,7934,1689,2105,9857,8766,5619,6765,2834,2767,8884,1355,8485,4723,6854,1221,9642,3446,9357,6745,8263,9277,2032,2500,2114,8171,1384,2445,3365,6183,2719,5943,2051,1482,4464,2124,9367,1791,2231,6916,7049,9528,6306,4571,9907,7202,9628,1426,1884,4684,8357,3232,2492,5466,1124,3609
9,5370,2124,2834,9367,1124,3717,4464,6916,1689,1426,5364,6999,3232,9357,3812,9286,7768,1557,8766,7934,1811,5820,1355,8485,9628,5943,3133,1791,6912,8188,2492,1884,7575,4335,4684,6745,9277,8083,5633,4493,6765,5543,5728,4490,9906,5466,3946,2105,4673,4571,2603,2500,4723,1041,1580,1384,2231,2114,2719,5619,9642,6589,6104,9528,5015,3365,3560,1139,1482,8171,3345,8313,9651,3446,9857,6306,9438,7831,1143,1221,7202,5727,4918,8357,7049,2767,9907,9690,2032,8263,8884,6854,8272,4185,8028,2445,2491,2051,6183,3609
10,2500,4493,6183,4464,3812,2492,6589,5015,2491,2124,9857,6854,8485,4673,1041,1221,9642,1580,4335,2231,5820,2834,3717,9628,3446,4185,5370,7768,9651,9906,8171,3365,5943,6306,2719,1124,6916,6104,5728,1791,9286,9357,5619,5543,8272,8884,2767,5633,2114,9690,3946,1689,3609,4490,1482,6999,3133,3560,1426,1384,4918,3232,1143,9907,1557,1139,8188,4723,1811,5727,4684,2603,9277,8357,7575,3345,9367,9438,9528,8028,2445,8766,7831,6765,6745,8083,7202,8263,2051,5364,7934,5466,7049,6912,2105,2032,1884,4571,8313,1355
11,2500,1791,6183,2051,3812,6745,1689,5619,1139,4918,7049,1143,8485,4673,3345,8263,2231,1580,5943,2491,5820,5728,3717,5364,8766,4185,5370,7768,7831,9906,8171,1426,2603,6306,2719,1124,9628,4571,2834,2767,9286,2492,5015,4493,8272,8884,9690,5633,6854,5543,3946,6589,1482,4490,1384,6999,3133,3560,3365,3609,2124,4464,1811,9907,1557,9642,6916,4723,7202,5727,4684,4335,9277,8357,7575,1041,6765,9438,9528,8028,2445,3446,9651,9367,8188,9357,2114,1221,3232,8083,7934,5466,9857,1355,2105,2032,1884,6104,8313,6912
12,5728,7575,5619,5364,3133,1143,4673,5820,9286,6183,5727,5633,2032,1482,8188,4571,8083,1384,9906,2445,2491,9651,1689,6765,8884,1580,7202,3946,8272,9367,2603,6854,5466,6745,4493,7049,9528,9277,9438,1124,1811,5943,9690,9357,8766,8357,1791,3365,6912,2719,2114,1355,2500,1426,3560,3345,6999,4723,1041,6104,4464,8263,8485,7934,2105,3812,6916,4918,4490,4185,8028,2834,2051,1139,4335,5015,2231,3446,9907,9628,2124,7768,8171,2767,5370,3717,1221,2492,6589,5543,6306,9642,7831,9857,3232,4684,8313,1884,3609,1557
13,1124,2231,9906,8188,3133,1143,1426,7575,9642,2500,3446,8884,8272,1482,1557,5364,5728,6912,4684,7768,9367,8357,3560,7831,9628,4918,4571,6999,5633,2445,1139,4185,6183,5543,6916,2767,1041,1384,5820,3609,9907,6104,2834,5015,6854,4464,6765,1791,8028,2491,2603,7202,8083,1884,9357,2492,9528,8171,9277,1580,1811,2114,3717,4493,2105,2032,8263,2124,3946,3345,8485,3365,5943,7049,4335,4723,6306,2051,2719,1355,7934,8766,5619,4673,4490,5727,5466,1221,9857,5370,3232,9286,8313,9651,6589,6745,9690,3812,9438,1689
14,2032,4673,4185,1426,8083,2767,4335,7202,8188,6306,1689,8313,6854,3446,7575,5619,5633,8028,3345,9628,9857,2492,8884,4571,1580,6912,6589,4493,2719,2500,1124,2105,3812,8485,1143,9528,5364,2124,8357,8171,1041,7049,5820,1791,5728,2114,4918,6745,3232,5727,9906,9690,2603,1884,3133,9651,5015,2491,2445,2834,8272,3946,5370,1384,8263,6183,3717,9286,4723,4490,5943,9277,1482,3365,1139,1355,6916,3560,4684,3609,9642,1557,1811,9438,2051,6999,1221,7768,5466,9907,9357,7934,6104,5543,9367,4464,8766,2231,7831,6765
15,2105,5943,2834,3946,9651,4571,9367,9906,1139,8313,2124,1482,1143,4673,2719,5619,8028,2500,5727,3365,1791,2491,3446,5633,8083,8485,4918,3345,2603,3717,6916,7575,4493,6912,2114,1884,2032,6589,9857,1124,8766,2231,9357,8171,5364,1811,9528,1557,5466,9642,7049,5728,5370,9438,4684,9628,5820,3133,3560,6765,1041,9277,8263,3812,8272,1426,6306,6745,7202,3609,5543,4185,6854,5015,4490,4723,1355,8884,2492,1580,2051,6104,6183,9286,4464,2767,7768,1384,8188,9907,2445,1221,6999,9690,8357,3232,7831,7934,4335,1689
16,2500,8272,1580,7831,2491,9651,5466,9906,9690,7202,7934,9438,3365,1811,8028,7768,6183,1384,5728,2603,8313,2032,4493,2231,1557,9277,9628,2492,1143,1124,9357,8485,2124,6589,5543,8171,6765,9642,3609,1355,1221,4335,6104,4723,2445,5943,5364,5633,2767,4571,8884,3345,4490,1689,3133,8188,8357,5619,1041,7575,4918,9367,6916,2105,4684,7049,1482,5370,3446,2051,9907,9286,5015,1139,5727,8766,1426,3946,6912,5820,3232,4464,6306,3717,3812,9528,9857,2719,6854,3560,2114,1884,1791,2834,4673,8263,6745,8083,4185,6999
17,2105,5943,2834,3946,1355,7049,9367,9906,8485,2231,1580,5728,1143,4490,2719,5619,8028,2500,8272,1426,1791,2491,3446,5633,8083,6912,4918,3345,2603,3717,6916,7575,4493,1139,2114,1884,9651,6589,9857,1124,8766,8313,5820,8171,1482,1811,9528,1557,5466,9642,4571,5364,9690,9438,4684,9628,9357,3133,3560,6765,1041,9277,8263,3812,5727,3365,5370,6745,7202,3609,5543,4185,6854,5015,4673,4723,2032,8884,2492,2124,2051,6104,6183,9286,4464,2767,7768,1384,8188,9907,2445,1221,6999,6306,8357,3232,7831,7934,4335,1689
